Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Paper Plates,Origami,Origami Plate 23cm 50's Printed,OPRTD50S23CM,12,300,20,48236900,18%,8906004864186,B00E3QWLOU,-,120017,-,-,fd61e8e5-cc63-4e66-99f9-7cc9526ede3c,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 23cm 100's Plain,OPLN100S23CM,12,300,10,48236900,18%,8906004864179,-,-,120018,-,-,abd40632-39ca-4da1-b599-aac4d81c45a9,590771477,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 23cm 20's Plain,OPLN20S23CM,11,80,50,48236900,18%,8906004863431,-,-,257543,-,8700,-,590310538,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Paper Cup 200ml 50's Printed,OCP50SPTD200,12,180,40,48236900,18%,8906004863714,-,-,257545,-,-,7714a7f0-b7ae-46d5-914b-8b2f02950e51,590772039,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Paper Cup 200ml 50's Printed Pack of 2,OCP100SPTD200,13,360,20,48236900,18%,8906004863714,B00W1SO3YS,-,-,-,-,-,590772039,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wooden Toothpick,Origami,Wooden Toothpics (500 sticks),OWDNTP500S,10,180,96,  44219060,12%,8906004864117,-,-,267635,10007069,8702,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"So Soft Face Tissues 20cm x 20cm, 200 Pulls, 2Ply",SFT200P2PSIN,12,185,32,48182000,18%,8906004863073,-,-,267639,10001544,-,104259,590309861,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami so-soft-2-ply-plain-table-top-box 50 pcs  ,SSNAPTT50S,10,90,56,48182000,18%,8906004862038,-,NAPFGPZR8TGKNYAH,269398,10001539,-,0b05c418-3c26-4683-9330-fe5da0722835,590308637,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,"Luxuria Party Dinner Napkins  33cm X 33cm 20's 3 Ply, Printed",LN13CM20S3P,11,120,40,48182000,18%,8906004863837,-,-,292645,-,13812,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,"Origami 3 Ply Premium Printed Tissue Paper Napkins for Party - Pack of 4 (20 Pulls Per Pack, 80 Sheets)",LN13CM20S3P4P,13,380,10,48182000,18%,8906004863837,B00NPVV9CY,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,"Origami 3 Ply Premium Printed Tissue Paper Napkins for Party - Pack of 4 (20 Pulls Per Pack, 80 Sheets)",LN13CM20S3P4M,13,380,10,48182000,18%,8906004863837,B08ZJBKNKK,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,"Origami non-woven-washable-absorbent-kitchen-towels 80 pulls , 1 Roll",NKRP1P80P1,10,220,36,56031200,12%,8906004864155,-,KNRFN82ZZYMUUFVY,40262126,10001557,4287,8fb96527-08cd-4fe1-b2ad-61c0cca9152a,590308643,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Origami Facial Tissues Box, 2ply, 4 in 1, 100 pulls, 4 pcs (Set of 4)",SSFT100x4,9,390,10,48182000,18%,8906004863103,B00W1SO13G,FLTFGPZFYHTFHWMP,294223,10001542,742652,158043,590308638,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Pocket Tissues,Origami,"Origami 3 Ply Pocket Hanky Tissue Paper - Pack of 40 (10 Pulls Per Roll, 400 Sheets)",PTP40P10P3,10,540,5,48181000,18%,8906004863752,B00W1SOBQS,NAPFTZDFWNHHHZZW,-,-,-,-,590309862,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Pocket Tissues,Origami,Origami so-soft-3-ply-pocket-hanky 10 pulls  Pack of 10,PTP10P10P3,10,135,12,48181000,18%,8906004863752,-,-,40000643,10001553,13808,158042,590309862,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami so-soft-plain-cocktail-napkins-22-x-22-cm 100 pcs  ,COCKTAIL8PC,11,50,60,48182000,18%,8906004862021,-,-,40000647,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami so-soft-plain-table-top-32-x-32-cm 100 pcs  Pack of 2,TNAP1P100P2,11,170,30,48182000,18%,8906004863578,-,-,-,-,23386,-,590309860,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami so-soft-plain-table-top-32-x-32-cm 100 pcs  Pack of 2,TNAP1P100P4,11,170,30,48182000,18%,8906004863578,-,-,-,-,,-,590309860,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
